subsample,colsample_bytree,seed,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.6,0.6,13,0.947,0.8333333333333334,0.8169934640522876,0.8250825082508251,0.9625745615050427,822,25,28,125
0.6,0.6,42,0.953,0.8533333333333334,0.8366013071895425,0.8448844884488449,0.965954425847474,825,22,25,128
0.6,0.6,123,0.952,0.8220858895705522,0.8758169934640523,0.8481012658227848,0.9828074480480897,818,29,19,134
0.6,0.8,13,0.953,0.8397435897435898,0.8562091503267973,0.8478964401294499,0.9668263999814802,822,25,22,131
0.6,0.8,42,0.952,0.8523489932885906,0.8300653594771242,0.8410596026490066,0.9661704902346614,825,22,26,127
0.6,0.8,123,0.955,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9856625845930659,820,27,18,135
0.6,1.0,13,0.954,0.8407643312101911,0.8627450980392157,0.8516129032258064,0.9682153853276848,822,25,21,132
0.6,1.0,42,0.957,0.8819444444444444,0.8300653594771242,0.8552188552188552,0.967381994119962,830,17,26,127
0.6,1.0,123,0.962,0.852760736196319,0.9084967320261438,0.879746835443038,0.9858863655655099,823,24,14,139
0.8,0.6,13,0.951,0.8421052631578947,0.8366013071895425,0.839344262295082,0.9605450995825328,823,24,25,128
0.8,0.6,42,0.951,0.8513513513513513,0.8235294117647058,0.8372093023255814,0.9679530214289572,825,22,27,126
0.8,0.6,123,0.953,0.8192771084337349,0.8888888888888888,0.8526645768025078,0.9843430485141715,817,30,17,136
0.8,0.8,13,0.953,0.8533333333333334,0.8366013071895425,0.8448844884488449,0.9638246483166268,825,22,25,128
0.8,0.8,42,0.956,0.8758620689655172,0.8300653594771242,0.8523489932885906,0.9658078107275968,829,18,26,127
0.8,0.8,123,0.963,0.8580246913580247,0.9084967320261438,0.8825396825396825,0.9864188099482216,824,23,14,139
0.8,1.0,13,0.953,0.8397435897435898,0.8562091503267973,0.8478964401294499,0.9667106512026298,822,25,22,131
0.8,1.0,42,0.955,0.8648648648648649,0.8366013071895425,0.8504983388704319,0.969967050180954,827,20,25,128
0.8,1.0,123,0.966,0.8650306748466258,0.9215686274509803,0.8924050632911392,0.9872830674969713,825,22,12,141
1.0,0.6,13,0.944,0.8169934640522876,0.8169934640522876,0.8169934640522876,0.9629758239383908,819,28,28,125
1.0,0.6,42,0.946,0.8193548387096774,0.8300653594771242,0.8246753246753247,0.9634542522243058,819,28,26,127
1.0,0.6,123,0.96,0.8466257668711656,0.9019607843137255,0.8734177215189873,0.9857011675193492,822,25,15,138
1.0,0.8,13,0.951,0.8421052631578947,0.8366013071895425,0.839344262295082,0.9633153536896852,823,24,25,128
1.0,0.8,42,0.952,0.847682119205298,0.8366013071895425,0.8421052631578947,0.9656766287782331,824,23,25,128
1.0,0.8,123,0.96,0.8509316770186336,0.8954248366013072,0.8726114649681529,0.9855777021552423,823,24,16,137
1.0,1.0,13,0.956,0.8471337579617835,0.869281045751634,0.8580645161290322,0.9637860653903434,823,24,20,133
1.0,1.0,42,0.954,0.8639455782312925,0.8300653594771242,0.8466666666666667,0.9686938136135997,827,20,26,127
1.0,1.0,123,0.966,0.8650306748466258,0.9215686274509803,0.8924050632911392,0.9860561304411571,825,22,12,141
